Data de lançamento,Frequência,Frequência Relativa (%)
1954-04-01 - 1959-02-04,28,0.56
1959-02-05 - 1963-12-11,43,0.86
1963-12-12 - 1968-10-16,160,3.2
1968-10-17 - 1973-08-22,342,6.84
1973-08-23 - 1978-06-28,289,5.78
1978-06-29 - 1983-05-04,309,6.18
1983-05-05 - 1988-03-10,273,5.46
1988-03-11 - 1993-01-14,327,6.54
1993-01-15 - 1997-11-20,492,9.84
1997-11-21 - 2002-09-26,452,9.04
2002-09-27 - 2007-08-02,550,11.0
2007-08-03 - 2012-06-07,495,9.9
2012-06-08 - 2017-04-13,566,11.32
2017-04-14 - 2022-02-18,674,13.48
