artist_name,Frequência
Bob Dylan,25
David Bowie,24
Rush,19
The Rolling Stones,18
Tom Waits,17
Iron Maiden,17
Miles Davis,16
Black Sabbath,16
Weezer,16
AC/DC,15
R.E.M.,15
Swans,15
The Beach Boys,15
Queen,15
Megadeth,15
Judas Priest,15
The Beatles,14
Genesis,14
Pink Floyd,14
Opeth,13
U2,13
Nas,13
Nine Inch Nails,13
King Crimson,13
Dream Theater,13
Depeche Mode,13
Green Day,13
The Cure,12
Sonic Youth,12
Slayer,12
Autechre,12
Taylor Swift,11
Yes,11
Xiu Xiu,11
Beck,11
Metallica,11
Eminem,11
Deep Purple,11
King Gizzard & The Lizard Wizard,11
Neil Young,11
Bruce Springsteen,11
Nick Cave & The Bad Seeds,10
Sufjan Stevens,10
Kanye West,10
Kraftwerk,10
Radiohead,10
Madonna,10
The Flaming Lips,10
Jay-Z,10
Tim Hecker,10
Björk,10
Coldplay,9
Led Zeppelin,9
Porcupine Tree,9
The Kinks,9
PJ Harvey,9
Wilco,9
Kate Bush,9
John Coltrane,9
Pearl Jam,9
Foo Fighters,9
Leonard Cohen,9
Jethro Tull,9
Animal Collective,9
Boris,9
Deftones,9
Arca,8
Cocteau Twins,8
Mogwai,8
Anathema,8
The Who,8
Peter Gabriel,8
Talking Heads,8
Death Grips,8
Converge,8
The Black Keys,8
Ween,8
Korn,8
Motörhead,8
Blur,8
The National,8
Beach House,8
Sigur Rós,8
Katatonia,8
Burzum,8
Low,8
Car Seat Headrest,8
Muse,8
Linkin Park,8
Queens of the Stone Age,7
Gentle Giant,7
Mount Eerie,7
Fall Out Boy,7
Meshuggah,7
The Fall,7
Oneohtrix Point Never,7
Dead Can Dance,7
The Roots,7
Gorillaz,7
Ulver,7
Yo La Tengo,7
Lou Reed,7
Grouper,7
Stereolab,7
Van Halen,7
Neurosis,7
Red Hot Chili Peppers,7
Joni Mitchell,7
Lana Del Rey,7
The Mothers of Invention,7
Kid Cudi,7
Steely Dan,7
Death,7
Oasis,7
Coil,7
New Order,7
Gojira,7
In Flames,7
the Creator,7
Prince,7
Tyler,7
Frank Zappa,7
Beastie Boys,7
Rammstein,7
Mastodon,7
Spoon,7
The Caretaker,7
Aerosmith,7
Guns n' Roses,6
Faith No More,6
The Decemberists,6
Fugazi,6
Alice Cooper,6
KISS,6
Logic,6
Michael Jackson,6
Brockhampton,6
J. Cole,6
Arctic Monkeys,6
Deerhunter,6
Roxy Music,6
The Clash,6
of Montreal,6
OutKast,6
Sepultura,6
Elliott Smith,6
Tim Buckley,6
A Tribe Called Quest,6
Alcest,6
Blink-182,6
Future,6
Marilyn Manson,6
The Byrds,6
Tangerine Dream,6
Bring Me the Horizon,6
Dire Straits,6
Primus,6
Lady Gaga,6
Sun Kil Moon,6
Brian Eno,6
Elton John,6
Ariana Grande,6
Nick Cave and The Bad Seeds,6
Johnny Cash,6
Bathory,6
Anthrax,6
Creedence Clearwater Revival,6
The Mars Volta,6
Beyoncé,6
The Doors,6
Interpol,6
Death Cab for Cutie,6
Scott Walker,6
Blind Guardian,6
Flying Lotus,6
The Strokes,6
The White Stripes,6
Slipknot,6
Carcass,6
Aphex Twin,6
St. Vincent,6
Aesop Rock,6
Sleater-Kinney,6
Drake,6
Unwound,6
XTC,6
Modest Mouse,6
Iceage,5
Electric Light Orchestra,5
Fleetwood Mac,5
Isis,5
ABBA,5
Danny Brown,5
Pet Shop Boys,5
James Blake,5
The Residents,5
Godspeed You! Black Emperor,5
Talk Talk,5
Immortal,5
Gorguts,5
System of a Down,5
The Chemical Brothers,5
Melvins,5
Four Tet,5
Santana,5
Between the Buried and Me,5
Mac Miller,5
Van Morrison,5
William Basinski,5
The Police,5
Agalloch,5
Lightning Bolt,5
Can,5
Tool,5
Behemoth,5
Arcade Fire,5
Explosions in the Sky,5
Foals,5
M83,5
Kendrick Lamar,5
Hüsker Dü,5
Earl Sweatshirt,5
Panic! at the Disco,5
Avenged Sevenfold,5
Stevie Wonder,5
Destroyer,5
Herbie Hancock,5
GAS,5
Nightwish,5
Ozzy Osbourne,5
Brand New,5
Lil Ugly Mane,5
Charles Mingus,5
Mac DeMarco,5
Chelsea Wolfe,5
Steven Wilson,5
Bladee,5
Nina Simone,5
The Smiths,5
Belle and Sebastian,5
Jeff Rosenstock,5
Children of Bodom,5
Fiona Apple,5
BADBADNOTGOOD,5
Type O Negative,5
The Weeknd,5
Bright Eyes,5
Bolt Thrower,5
Ramones,5
Deafheaven,5
Pantera,5
Big Thief,5
Enslaved,5
Daft Punk,5
Red House Painters,5
Julia Holter,5
Massive Attack,5
Mitski,5
Grimes,5
Paramore,5
Kreator,5
AIR,5
The Killers,5
Placebo,5
Grateful Dead,5
Soundgarden,5
Electric Wizard,5
Morrissey,5
Van der Graaf Generator,5
Funkadelic,5
Alice in Chains,5
Pavement,5
Kings of Leon,4
Kyuss,4
Tame Impala,4
Amon Düül II,4
Perfume Genius,4
Siouxsie and The Banshees,4
Daughters,4
Charli XCX,4
Gong,4
青葉市子 [Ichiko Aoba],4
The Jam,4
Crystal Castles,4
Incubus,4
Childish Gambino,4
Toro y Moi,4
Denzel Curry,4
Morbid Angel,4
Squarepusher,4
The Red Hot Chili Peppers,4
Joanna Newsom,4
Britney Spears,4
Parquet Courts,4
Run the Jewels,4
Rage Against the Machine,4
Eels,4
Florence + The Machine,4
John Fahey,4
Gang Starr,4
Bauhaus,4
Franz Ferdinand,4
Blondie,4
La Dispute,4
2Pac,4
Hawkwind,4
Father John Misty,4
The Alan Parsons Project,4
Caribou,4
Nico,4
Built to Spill,4
Magma,4
The Velvet Underground,4
Sonic-Youth,4
Jorge Ben,4
Vince Staples,4
Bon Iver,4
The Jesus and Mary Chain,4
Scorpions,4
Various Artists,4
Emerson,4
Dark Tranquillity,4
Marillion,4
Idles,4
Lake & Palmer,4
At the Drive-In,4
Unknown Mortal Orchestra,4
Dead Kennedys,4
LCD Soundsystem,4
Disturbed,4
Imagine Dragons,4
Fleet Foxes,4
JPEGMAFIA,4
Camel,4
The 1975,4
XXXTentacion,4
Machine Girl,4
Marvin Gaye,4
Sweet Trip,4
Cannibal Corpse,4
Manic Street Preachers,4
The Microphones,4
Protomartyr,4
Liturgy,4
Adele,4
De La Soul,4
Thin Lizzy,4
Tori Amos,4
Blue Öyster Cult,4
Yung Lean,4
My Chemical Romance,4
Faust,4
ScHoolboy Q,4
Public Enemy,4
Limp Bizkit,4
Panda Bear,4
The War on Drugs,4
M.I.A.,4
Ghost,4
Slowdive,4
Deathspell Omega,4
CHVRCHES,4
clipping.,4
TV on the Radio,4
Dinosaur Jr,4
Lil Wayne,4
Pixies,4
Jefferson Airplane,4
Thee Oh Sees,4
Baroness,4
Testament,4
Lupe Fiasco,4
Nicolás Jaar,4
Thom Yorke,4
The Replacements,4
The Dillinger Escape Plan,4
Bob Marley & The WailersBob MarleyThe Wailers,4
Boards of Canada,4
Carly Rae Jepsen,4
The Mountain Goats,4
Cult of Luna,4
The Prodigy,4
Current 93,4
Darkthrone,4
Celtic Frost,4
Grizzly Bear,4
The Allman Brothers Band,4
The Smashing Pumpkins,4
The Shins,4
Emperor,4
MGMT,4
Vampire Weekend,4
Einstürzende Neubauten,4
Merzbow,3
NEU!,3
Uriah Heep,3
The Radio Dept.,3
Summoning,3
Sly & The Family Stone,3
John Maus,3
Def Leppard,3
Fishmans,3
Throbbing Gristle,3
DIIV,3
Phoenix,3
Amon Tobin,3
MIKE,3
Cage the Elephant,3
Nails,3
Ariel Pink's Haunted Graffiti,3
Cat Power,3
Vektor,3
Kurt Vile,3
Hum,3
King Diamond,3
El-P,3
Amon Amarth,3
Paradise Lost,3
Bloc Party,3
Drudkh,3
Anderson .Paak,3
Rihanna,3
King Gizzard and The Lizard Wizard,3
Post Malone,3
The Offspring,3
Kasabian,3
Lingua Ignota,3
Om,3
Ice Cube,3
Entombed,3
Iggy Pop,3
Ed Sheeran,3
Wipers,3
Curtis Mayfield,3
Julien Baker,3
George Harrison,3
My Bloody Valentine,3
Guided by Voices,3
Don Caballero,3
Traffic,3
Wolves in the Throne Room,3
Voivod,3
Dimmu Borgir,3
John Lennon,3
Dean Blunt,3
Broken Social Scene,3
Nujabes,3
Pusha T,3
The Jimi Hendrix Experience,3
Janelle Monáe,3
Smashing Pumpkins,3
Japanese Breakfast,3
21 Savage,3
Riverside,3
Bad Religion,3
A$AP Rocky,3
Dio,3
Fuck Buttons,3
Neon Indian,3
Sunn O))),3
American Football,3
Cluster,3
They Might Be Giants,3
ミドリ [Midori],3
Eno,3
maudlin of the Well,3
Al Green,3
Blood Orange,3
Earth,3
Andy Stott,3
Galaxie 500,3
Paul McCartney,3
Wolf Alice,3
Melt-Banana,3
Sunny Day Real Estate,3
Alex G,3
Bill Callahan,3
Dr. Dre,3
Mercury Rev,3
Justin Timberlake,3
Tortoise,3
Sparklehorse,3
Erykah Badu,3
Prince and The Revolution,3
Angelo Badalamenti,3
Accept,3
Sun Ra,3
Yeah Yeah Yeahs,3
