descriptors,Frequência
malevocals,3541
melodic,2010
energetic,1662
atmospheric,1268
rhythmic,1218
melancholic,1205
passionate,1158
bittersweet,953
playful,899
introspective,885
dark,807
femalevocals,802
warm,794
heavy,742
love,734
mellow,730
psychedelic,719
lush,675
urban,589
nocturnal,570
eclectic,569
aggressive,567
raw,555
anxious,550
romantic,498
uplifting,478
sombre,475
noisy,463
progressive,454
poetic,452
lonely,444
dense,441
surreal,438
complex,433
hypnotic,431
sexual,422
instrumental,412
ethereal,403
angry,389
sampling,385
quirky,383
political,370
epic,365
conceptalbum,364
drugs,344
rebellious,344
anthemic,336
sentimental,332
summer,328
conscious,326
repetitive,317
technical,313
humorous,302
mysterious,300
boastful,292
sarcastic,289
futuristic,284
longing,274
ominous,274
cold,272
death,272
cryptic,259
manic,256
soothing,239
uncommontimesignatures,237
avant-garde,229
breakup,228
abstract,224
misanthropic,212
lo-fi,212
acoustic,210
hedonistic,209
philosophical,205
depressive,203
chaotic,195
calm,192
violence,186
party,182
spiritual,179
dissonant,178
soft,178
sensual,176
sad,174
pastoral,168
fantasy,162
vulgar,160
mechanical,158
crime,157
pessimistic,154
happy,150
autumn,149
existential,145
optimistic,141
apocalyptic,141
peaceful,132
sciencefiction,132
improvisation,129
alienation,122
LGBT,117
minimalistic,116
satirical,116
triumphant,114
meditative,113
space,104
suspenseful,104
nihilistic,100
winter,97
nature,96
occult,93
sparse,92
androgynousvocals,83
lethargic,81
protest,79
war,78
deadpan,72
serious,71
hateful,68
alcohol,64
disturbing,63
tropical,62
spring,61
apathetic,60
religious,59
self-hatred,58
infernal,58
mythology,57
forest,53
anti-religious,50
aquatic,48
tribal,47
satanic,47
history,45
orchestral,43
ritualistic,41
suicide,41
desert,40
medieval,38
Christian,37
pagan,36
rockopera,33
folklore,32
suite,31
Wallof Sound,31
scary,24
rain,23
funereal,20
paranormal,18
anarchism,18
vocalgroup,17
ballad,16
atonal,16
polyphonic,14
chambermusic,12
choral,10
martial,10
aleatory,7
microtonal,6
natural,6
sports,5
Halloween,5
generativemusic,4
novelty,3
patriotic,3
mashup,3
fairytale,3
Christmas,2
parody,2
"dark,...",2
Islamic,2
jingle,2
acappella,2
monologue,2
"triumphant,...",1
sonata,1
ensemble,1
symphony,1
medley,1
"aggressive,...",1
"melancholic,...",1
"playful,...",1
"surreal,...",1
"malevocals,...",1
"passionate,...",1
nationalism,1
ideology,1
carol,1
"angry,...",1
opera,1
seasonal,1
"existential,...",1
skit,1
