primary_genres,Frequência
Singer-Songwriter,340
Alternative Rock,337
Pop Rock,283
Indie Rock,264
Hard Rock,203
Art Pop,198
East Coast Hip Hop,162
Progressive Rock,160
Art Rock,159
Post-Punk,154
Indie Pop,151
Experimental Rock,134
Neo-Psychedelia,131
Heavy Metal,126
Synthpop,123
Psychedelic Rock,109
Progressive Metal,98
Dream Pop,95
Folk Rock,88
Ambient,88
Pop Rap,86
Psychedelic Pop,83
Post-Rock,82
Noise Rock,80
New Wave,79
Post-Hardcore,79
Conscious Hip Hop,78
Electropop,77
Electronic,75
Blues Rock,74
Trap,74
Southern Hip Hop,73
Abstract Hip Hop,73
West Coast Hip Hop,72
Alternative Metal,71
Hardcore Hip Hop,70
Contemporary Folk,68
Thrash Metal,67
Indie Folk,64
Contemporary R&B,64
Experimental Hip Hop,64
Death Metal,58
Dance-Pop,56
Black Metal,54
Gangsta Rap,54
Alternative R&B,53
Shoegaze,53
Punk Rock,51
Indietronica,51
Boom Bap,49
Progressive Pop,49
Chamber Pop,46
Art Punk,46
Pop Punk,46
Lo-Fi/Slacker Rock,41
IDM,41
Power Pop,40
Jazz Rap,39
Noise Pop,38
Neo-Soul,38
Glam Rock,37
Experimental,36
Post-Metal,36
Pop,36
Ambient Pop,36
Atmospheric Black Metal,33
Jangle Pop,32
Drone,32
Psychedelic Folk,31
Post-Industrial,30
Jazz-Rock,29
Krautrock,29
Slowcore,29
Jazz Fusion,29
Gothic Rock,28
Alt-Pop,28
Industrial Rock,27
Math Rock,27
Melodic Death Metal,27
Nu Metal,26
Chamber Folk,26
Stoner Metal,26
Progressive Electronic,26
Garage Rock,26
Hard Bop,26
Baroque Pop,25
Technical Death Metal,25
Avant-Garde Metal,25
Grunge,25
Garage Rock Revival,25
Power Metal,24
Avant-Folk,24
Sludge Metal,24
Country Rock,24
Symphonic Prog,24
Film Score,24
Hardcore Punk,24
Post-Bop,24
Alt-Country,24
Midwest Emo,23
Post-Punk Revival,23
Britpop,23
Rock,23
Alternative Dance,23
Atmospheric Sludge Metal,23
Piano Rock,22
Avant-Garde Jazz,22
Glitch Pop,22
Folk Pop,21
Heartland Rock,19
Americana,19
Doom Metal,19
Cloud Rap,19
Metalcore,19
Downtempo,19
Soul,18
Emo,18
Twee Pop,18
Funk Rock,18
Groove Metal,18
