,position,release_name,artist_name,release_date,release_type,primary_genres,secondary_genres,descriptors,avg_rating,rating_count,review_count
2954,2954,FUTURE,Future,2017-02-17,album,"Trap, Southern Hip Hop",NA,"urban, boastful, crime, hedonistic, malevocals, drugs, party, sexual, nocturnal, mysterious",2.74,3471,21
3474,3474,Petals for Armor,Hayley Williams,2020-05-08,album,"Art Pop, Alternative Dance","Synthpop, New Wave, Art Rock, Indie Pop","femalevocals, bittersweet, rhythmic, anxious, love, passionate, introspective, warm, eclectic, optimistic",3.21,3017,39
2652,2652,Chaosphere,Meshuggah,1998-11-10,album,Djent,"Technical Thrash Metal, Groove Metal","heavy, chaotic, mechanical, technical, aggressive, apocalyptic, futuristic, complex, misanthropic, malevocals",3.64,3775,76
4441,4441,Too Dark Park,Skinny Puppy,1990-10-25,album,Electro-Industrial,Industrial Rock,"dense, dark, mechanical, noisy, sampling, political, rhythmic, disturbing, apocalyptic, malevocals",3.62,2432,44
4621,4621,The Galilean Satellites,Rosetta,2005-10-18,album,"Atmospheric Sludge Metal, Post-Metal","Post-Rock, Noise, Dark Ambient, Drone","sciencefiction, space, dense, passionate, atmospheric, heavy, lonely, epic, conceptalbum, sad",3.81,2355,51
2593,2593,Hollywood's Bleeding,Post Malone,2019-09-06,album,Pop Rap,"Pop Rock, Trap, Alternative R&B, Emo Rap, Alt-Pop, Contemporary R&B","malevocals, melodic, bittersweet, melancholic, introspective, rhythmic, boastful, mellow, love, eclectic",2.56,3857,38
4073,4073,The Curtain Hits the Cast,Low,1996-08-13,album,"Slowcore, Post-Rock","Dream Pop, Drone","sad, bittersweet, lonely, introspective, lethargic, minimalistic, melancholic, atmospheric, malevocals, femalevocals",3.71,2630,31
2693,2693,Bakesale,Sebadoh,1994-08-23,album,Indie Rock,"Lo-Fi/Slacker Rock, Noise Pop","anxious, pessimistic, angry, melodic, misanthropic, sarcastic, lo-fi, depressive, lonely, malevocals",3.69,3736,57
1333,1333,Silver Apples,Silver Apples,1968-06-01,album,"Psychedelic Rock, Electronic, Experimental Rock",Krautrock,"futuristic, hypnotic, psychedelic, mechanical, avant-garde, surreal, anxious, repetitive, rhythmic, malevocals",3.64,6461,106
4882,4882,Hybris,Änglagård,1992-09-14,album,"Symphonic Prog, Progressive Rock",Progressive Folk,"complex, forest, progressive, poetic, malevocals, technical, atmospheric, epic, nature, anxious",3.78,2226,65
1606,1606,World of Echo,Arthur Russell,1986-01-01,album,"Ambient Pop, Avant-Folk, Experimental","Post-Minimalism, Experimental, Psychedelic Folk","mellow, avant-garde, sparse, atmospheric, introspective, psychedelic, malevocals, cryptic, soft, ethereal",3.73,5726,64
2407,2407,Frengers,Mew,2003-06-16,album,"Dream Pop, Indie Pop","Progressive Pop, Indie Rock","androgynousvocals, melancholic, lush, ethereal, bittersweet, longing, winter, melodic, soft, passionate",3.71,4101,69
3639,3639,Pendulum,Creedence Clearwater Revival,1970-12-09,album,"Roots Rock, Country Rock","Blues Rock, Swamp Rock","malevocals, pastoral, melodic, warm",3.52,2904,71
3616,3616,Ungodly Hour,Chloe x Halle,2020-06-12,album,Contemporary R&B,"Trap, Dance-Pop, Alternative R&B","rhythmic, melodic, uplifting, lush, femalevocals, mellow, urban, warm, sensual, peaceful",3.48,2920,22
935,935,Cop,Swans,1984-01-01,album,"Noise Rock, No Wave","Industrial, Industrial Metal, Sludge Metal","misanthropic, heavy, nihilistic, hateful, disturbing, dissonant, dark, political, angry, violence",3.39,8224,79
1344,1344,Deserter's Songs,Mercury Rev,1998-09-29,album,"Chamber Pop, Neo-Psychedelia","Dream Pop, Psychedelic Pop","lush, fantasy, ethereal, bittersweet, malevocals, poetic, atmospheric, nocturnal, melancholic, melodic",3.69,6433,134
3044,3044,Power Windows,Rush,1985-10-26,album,Progressive Rock,"Pop Rock, New Wave, AOR","melodic, conscious, political, malevocals, energetic, atmospheric, anthemic, progressive, epic, philosophical",3.52,3388,108
3965,3965,Playing With Fire,Spacemen 3,1989-02-27,album,"Neo-Psychedelia, Space Rock, Space Rock Revival","Drone, Dream Pop","melancholic, psychedelic, hypnotic, soothing, noisy, repetitive, sparse, malevocals, religious, drugs",3.63,2688,49
